date,sequence,doctype,section,text
20150128,10,MINUTES,STAFF_FINSIT,"Staff Review of the Financial Situation Over the intermeeting period, amid trading that was volatile at times, longer-term sovereign yields in the United States and other advanced economies declined. These moves were attributed in part to a deterioration in market sentiment associated with downward pressure on inflation, increased concern about the global economic outlook, and announced and anticipated foreign central bank policies. Moreover, continued sharp declines in oil prices and U.S. economic data releases that were viewed by investors as a bit weaker than anticipated, on balance, reportedly weighed on sentiment."
20150128,11,MINUTES,STAFF_FINSIT,"Federal Reserve communications over the intermeeting period were apparently seen as about in line with expectations on balance. However, reflecting in part the deterioration in market sentiment, the expected path for the federal funds rate implied by market quotes shifted down. Results from the Desk's January Survey of Primary Dealers indicated that dealers continued to put the highest probability on scenarios in which the FOMC chooses to commence policy firming around the middle of the year, although the average probability assigned to a commencement after June increased somewhat."
20150128,12,MINUTES,STAFF_FINSIT,"Yields on nominal Treasury securities continued to move lower over the intermeeting period, with market expectations of the policy rate path being revised downward, and with term premiums declining, in part reflecting actual and expected policy easing abroad. On balance, the Treasury yield curve flattened over the intermeeting period, while interest rate volatility increased somewhat. Although the measure of inflation compensation over the next 5 years based on Treasury Inflation-Protected Securities (TIPS) increased, inflation compensation 5 to 10 years ahead declined further to its lowest level in a decade. Yields on 5- and 10-year TIPS moved lower over the period."
20150128,13,MINUTES,STAFF_FINSIT,"Over the intermeeting period, U.S. equity markets were volatile. Option-implied volatility for the S&P 500 index declined, on balance, but remained in the upper half of the range seen over the past year. Broad U.S. equity price indexes moved higher, while stock prices for large domestic banking organizations moved lower on net. Corporate bond spreads were also volatile over the intermeeting period but were little changed, on net, for investment-grade issuers and ended the period lower for speculative-grade issuers, particularly energy companies."
20150128,14,MINUTES,STAFF_FINSIT,"Credit flows to nonfinancial firms generally remained strong through the last quarter of 2014, though they slowed somewhat for riskier firms. Gross corporate bond issuance continued to be solid, although speculative-grade bond issuance declined late in the year and remained subdued into January. Commercial and industrial loans on banks' books continued to expand at a robust rate in the fourth quarter of 2014, consistent with the stronger loan demand from large and middle-market firms reported in the January Senior Loan Officer Opinion Survey on Bank Lending Practices (SLOOS). Issuance of syndicated leveraged loans in the fourth quarter was at its slowest pace in two years, as spreads on newly issued loans increased and refinancing activity declined significantly. Issuance of collateralized loan obligations declined but remained elevated; 2014 was the strongest year on record for the issuance of such securities."
20150128,15,MINUTES,STAFF_FINSIT,"Financing conditions in the commercial real estate (CRE) sector stayed accommodative. In the January SLOOS, banks reported that standards continued to ease, on net, for CRE lending and noted stronger demand for all CRE loan types. Issuance of commercial mortgage-backed securities continued at a solid pace in November and December."
20150128,16,MINUTES,STAFF_FINSIT,"Residential mortgage credit conditions, while remaining tight, showed some further signs of gradual easing. According to the January SLOOS, lending standards eased for a number of categories of residential mortgage loans in the fourth quarter. The price of mortgage credit for qualified borrowers declined again over the intermeeting period, with interest rates on 30-year fixed-rate mortgages reaching levels close to their all-time lows. Refinance applications rose near the end of the intermeeting period."
20150128,17,MINUTES,STAFF_FINSIT,"Conditions in consumer credit markets stayed largely accommodative over the intermeeting period. Auto and student loan balances continued to post significant gains through November, while the expansion of credit card loans on banks' books remained moderate during the fourth quarter as a whole. Respondents to the January SLOOS indicated that demand for auto and credit card loans had strengthened further in the fourth quarter. Consumer credit quality has remained strong on balance. The credit performance of auto loans, however, reportedly deteriorated a bit further for some lenders, and several banks indicated in the January SLOOS that they expect the performance of subprime auto loans to worsen this year."
20150128,18,MINUTES,STAFF_FINSIT,"The U.S. dollar strengthened against the currencies of most other advanced economies amid investor concerns about growth in those economies as well as increased monetary accommodation in some of them; the dollar was largely unchanged, on average, against the currencies of emerging market economies. Sovereign yields abroad moved lower, with euro-area yields reflecting the expected and actual easing of the stance of monetary policy by the European Central Bank (ECB) and U.K. yields responding to a shift in expectations toward a later start of Bank of England policy firming. Global equity markets were broadly higher, rebounding from declines in mid-December."
20150128,19,MINUTES,STAFF_FINSIT,"Several central banks announced monetary policy actions during the period. The ECB announced that it would expand its asset purchase program to include the purchase of sovereign bonds; the euro depreciated significantly against the dollar both in anticipation of and following this announcement. The Swiss National Bank (SNB) ended its policy of defending the exchange rate floor of 1.20 Swiss francs per euro, resulting in a significant appreciation of the franc. At the same time, the SNB reduced policy rates, moving the rate it pays on deposits and its target range for Swiss franc LIBOR, or London interbank offered rate, further into negative territory. The Bank of Canada, National Bank of Denmark, Reserve Bank of India, and Central Bank of Turkey also cut policy rates in January to support their economies and, in some cases, to foster higher inflation, while the Central Bank of Brazil raised rates in response to concerns about elevated inflation."
20150128,20,MINUTES,STAFF_FINSIT,"The staff provided its latest report on potential risks to financial stability. Relatively high levels of capital and liquidity in the banking sector, moderate levels of maturity transformation in the financial sector, and a relatively subdued pace of borrowing by the nonfinancial sector continued to be seen as important factors limiting the vulnerability of the financial system to adverse shocks. However, the staff report noted valuation pressures in some asset markets. Such pressures were most notable in corporate debt markets, despite some easing in recent months. In addition, valuation pressures appear to be building in the CRE sector, as indicated by rising prices and the easing in lending standards on CRE loans. Finally, the increased role of bond and loan mutual funds, in conjunction with other factors, may have increased the risk that liquidity pressures could emerge in related markets if investor appetite for such assets wanes. The effects on the largest banking firms of the sharp decline in oil prices and developments in foreign exchange markets appeared limited, although other institutions with more concentrated exposures could face strains if oil prices remain at current levels for a prolonged period."
20150128,21,MINUTES,STAFF_OUTLOOK,"Staff Economic Outlook The staff estimated that real GDP growth in the second half of 2014 was faster than in the projection prepared for the December meeting, primarily reflecting stronger-than-expected consumer spending. Even so, real GDP was still estimated to have risen more slowly in the fourth quarter than in the third quarter, as changes in both net exports and federal government purchases appeared likely to have subtracted from real GDP growth in the fourth quarter following large positive contributions in the previous quarter."
20150128,22,MINUTES,STAFF_OUTLOOK,"The staff's outlook for economic activity over the first half of 2015 was revised up since December, in part reflecting an anticipated boost to consumer spending from declines in energy prices. However, the forecast for real GDP growth over the medium term was little revised, as the greater momentum implied by recent spending gains and the support to household spending from lower energy prices was about offset by the restraint implied by the recent appreciation of the dollar. The staff continued to forecast that real GDP would expand at a modestly faster pace in 2015 and 2016 than it did in 2014 and that it would rise more quickly than potential output, supported by increases in consumer and business confidence and a pickup in foreign economic growth, as well as by a U.S. monetary policy stance that was assumed to remain highly accommodative for some time. In 2017, real GDP growth was projected to begin slowing toward, but to remain slightly above, the rate of growth of potential output. The expansion in economic activity over the medium term was anticipated to lead to a slow reduction in resource slack, and the unemployment rate was expected to decline gradually and to move slightly below the staff's estimate of its longer-run natural rate for a time."
20150128,23,MINUTES,STAFF_OUTLOOK,"The staff's forecast for inflation in the near term was revised down, as further sharp declines in crude oil prices since the December FOMC meeting pointed toward a somewhat larger transitory decrease in the total PCE price index early this year than was previously projected. In addition, the incoming data on consumer prices apart from those for energy showed a somewhat smaller rise than anticipated. The staff's forecast for inflation in 2016 and 2017 was essentially unchanged, with inflation projected to remain below the Committee's 2 percent objective. Nevertheless, inflation was projected to reach 2 percent over time, with inflation expectations in the longer run assumed to be consistent with the Committee's objective and slack in labor and product markets anticipated to fade."
20150128,24,MINUTES,STAFF_OUTLOOK,"The staff viewed the uncertainty around its projections for real GDP growth, the unemployment rate, and inflation as similar to the average over the past 20 years. The risks to the forecast for real GDP growth were viewed as tilted a little to the downside, reflecting the staff's assessment that neither monetary policy nor fiscal policy was well positioned to help the economy withstand adverse shocks. At the same time, the staff viewed the risks around its outlook for the unemployment rate as roughly balanced. The downside risks to the forecast for inflation were seen as having increased somewhat, partly reflecting the recent soft monthly readings on core inflation."
20150128,25,MINUTES,FOMC_ECON,"Participants' Views on Current Conditions and the Economic Outlook In their discussion of the economic situation and the outlook, meeting participants regarded the information received over the intermeeting period as indicating that economic activity had been expanding at a solid pace. Although growth likely slowed from the rapid rate recorded for the third quarter of 2014, a variety of indicators suggested that real GDP continued to grow faster than potential GDP late in the year and during January. Labor market conditions improved further, with strong job gains and a lower unemployment rate; participants judged that the underutilization of labor resources was continuing to diminish. Participants expected that, over the medium term, real economic activity would increase at a moderate pace sufficient to lead to further improvements in labor market conditions toward levels consistent with the Committee's objective of maximum employment. Inflation had declined further below the Committee's longer-run objective, largely reflecting declines in energy prices, and was anticipated to decline further in the near term. Market-based measures of inflation compensation 5 to 10 years ahead had registered a further decline, while survey-based measures of longer-term inflation expectations remained stable. Participants generally anticipated that inflation would rise gradually toward the Committee's 2 percent objective as the labor market improved further and the transitory effects of lower energy prices and other factors dissipated. The risks to the outlook for economic activity and the labor market were seen as nearly balanced. Participants generally regarded the net effect of the recent decline in energy prices as likely to be positive for economic activity and employment. Many participants continued to judge that a deterioration in the foreign economic situation could pose downside risks to the outlook for U.S. economic growth. Several saw those risks as having diminished over the intermeeting period, with lower oil prices and actions of foreign central banks both being supportive of growth abroad, but others pointed to heightened geopolitical and other risks."
20150128,26,MINUTES,FOMC_ECON,"With respect to the U.S. economy, participants noted that household spending was rising moderately. Recent declines in oil prices, which had boosted household purchasing power, were among the factors likely to underpin consumer spending in coming months; other factors cited as supporting household spending included low interest rates, easing credit standards, and continued gains in employment and income. However, it was noted that the recovery in the housing sector remained slow and that tepid nominal wage growth, if continued, could become a significant restraining factor for household spending."
20150128,27,MINUTES,FOMC_ECON,"Industry contacts pointed to generally solid business conditions, with businesses in many parts of the country continuing to express optimism about prospects for further improvement in 2015. Although manufacturing activity appeared to have slowed somewhat over the intermeeting period in some regions, business contacts suggested that this slowing was likely to prove temporary, and information from some parts of the country suggested that capital investment was poised to pick up. Several participants noted that there were signs of layoffs in the oil and gas industries, and that persistently low energy prices might prompt a larger retrenchment of employment in these industries. In addition, it was observed that if capital investment in energy-producing industries slowed significantly, it could damp the overall expansion of economic activity for a period, especially if the slowing took place after most of the positive effects of lower energy prices on growth in household spending had occurred. A few participants observed that government spending was unlikely to be a major contributor to the expansion of demand in the period ahead, with real federal purchases projected to be fairly flat over the medium term."
20150128,28,MINUTES,FOMC_ECON,"In their discussion of the foreign economic outlook, participants noted that a number of developments over the intermeeting period had likely reduced the risks to U.S. growth. Accommodative policy actions announced by a number of foreign central banks had likely strengthened the outlook abroad. The decline in energy prices was also seen as potentially exerting a stronger-than-anticipated positive effect on growth in the domestic economy and abroad. However, the increase in the foreign exchange value of the dollar was expected to be a persistent source of restraint on U.S. net exports, and a few participants pointed to the risk that the dollar could appreciate further. In addition, the slowdown of growth in China was noted as a factor restraining economic expansion in a number of countries, and several continuing risks to the international economic outlook were cited, including global disinflationary pressure, tensions in the Middle East and Ukraine, and financial uncertainty in Greece. Overall, the risks to the outlook for U.S. economic activity and the labor market were seen as nearly balanced."
20150128,29,MINUTES,FOMC_ECON,"Participants noted that inflation had moved further below the Committee's longer-run objective, largely reflecting declines in energy prices and other transitory factors. A number of participants observed that, with anchored inflation expectations, the fall in energy prices should not leave an enduring imprint on aggregate inflation. It was pointed out that the recent intensification of downward pressure on inflation reflected price movements that were concentrated in a narrow range of items in households' consumption basket, a pattern borne out by trimmed mean measures of inflation. Several participants remarked that inflation measures that excluded energy items had also moved down in recent months, but these declines partly reflected transitory factors, including downward pressure on import prices and the pass-through of lower energy costs to the prices of non- energy items. Nonetheless, several participants saw the continuing weakness of core inflation measures as a concern. In addition, a few participants suggested that the weakness of nominal wage growth indicated that core and headline inflation could take longer to return to 2 percent than the Committee anticipated. In contrast, a couple of participants suggested that nominal wage growth provides little information about the future behavior of price inflation. Participants also discussed the possibility that, because of the infrequent occurrence of reductions in nominal wages, wages may not have fully adjusted downward in the period of high unemployment, and therefore pent-up wage deflation might have weighed on wage gains for a time during the expansion. If this was the case, nominal wage growth could be expected to pick up in coming periods and to resume a more normal relationship with labor market slack. Most participants expected that continuing reductions in resource slack would be helpful in returning inflation over the medium term to the Committee's 2 percent longer-run objective, but a few participants voiced concern that nominal wage growth might rise rapidly and inflation might exceed 2 percent for a time."
20150128,30,MINUTES,FOMC_ECON,"Participants discussed the sizable decline in market-based measures of inflation compensation that had been observed over the past year and continued over the intermeeting period. A number of them judged that the decline mostly reflected a reduction in the risk premiums embedded in nominal interest rates rather than a decline in inflation expectations; this interpretation was supported by results of some analytical models used to decompose movements in market-based measures of inflation compensation and also by the continuing stability of survey-based measures of inflation expectations. However, other participants put some weight on the possibility that the decline in inflation compensation reflected a reduction in expected inflation. These participants further argued that the stability of survey-based measures of inflation expectations should not be taken as providing much reassurance; in particular, it was noted that in Japan in the late 1990s and early 2000s, survey-based measures of longer-term inflation expectations had not recorded major declines even as a disinflationary process had become entrenched. In addition, a few participants argued that even if the shift down in inflation compensation reflected lower inflation risk premiums rather than reductions in expected inflation, policymakers might still want to take that decline into account because it could reflect increased concern on the part of investors about adverse outcomes in which low inflation was accompanied by weak economic activity. Participants generally agreed that the behavior of market-based measures of inflation compensation needed to be monitored closely."
20150128,31,MINUTES,FOMC_ECON,"Participants also discussed other aspects of the substantial decline in nominal longer-term interest rates and its implications. The fall had occurred despite the strengthening U.S. economic outlook and market expectations that policy normalization could begin later this year. Some participants suggested that shifts of funds from abroad into U.S. Treasury securities may have put downward pressure on term premiums; the shifts, in turn, may have reflected in part a reaction to declines in foreign sovereign yields in response to actual and anticipated monetary policy actions abroad. A couple of participants noted that the reduction in longer-term real interest rates tended to make U.S. financial conditions more accommodative, potentially calling for a somewhat higher path for the federal funds rate going forward. Others observed that insofar as the shifts reflected concerns about growth prospects abroad or were accompanied by a stronger dollar, the implications for U.S. monetary policy were less clear. It was further noted that investment flows from abroad could also be contributing to the decline in TIPS-based measures of inflation compensation, as such flows tend to be concentrated in nominal Treasury securities rather than inflation-protected securities."
20150128,32,MINUTES,FOMC_ECON,"Participants saw broad-based improvement in labor market conditions over the intermeeting period, including strong gains in payroll employment and a further reduction in the unemployment rate. Some participants believed that considerable labor market slack remained, especially when indicators other than the unemployment rate were taken into account, including the unusually large fraction of the labor force working part time for economic reasons. A few observed that the combination of recent labor market improvements and continued softness in inflation had led them to lower their estimates of the longer-run normal rate of unemployment. However, a few others saw only a limited degree of remaining labor underutilization or anticipated that underutilization would be eliminated relatively soon."
20150128,33,MINUTES,FOMC_ECON,"Participants' Discussion of Policy Planning Participants discussed considerations related to the choice of the appropriate timing of the initial firming in monetary policy and pace of subsequent rate increases. Ahead of this discussion, the staff gave a presentation that outlined some of the key issues likely to be involved, including the extent to which similar economic outcomes could be generated by different combinations of the date of the initial firming of policy and the pace of rate increases thereafter, how these combinations could affect the risks to economic outcomes, a review of past episodes in the United States and abroad in which monetary policy transitioned to a tightening phase after a lengthy period of low policy rates, and issues related to communications regarding the likely timing and pace of normalization."
20150128,34,MINUTES,FOMC_ECON,"Participants discussed the tradeoffs between the risks that would be associated with departing from the effective lower bound later and those that would be associated with departing earlier. Several participants noted that a late departure could result in the stance of monetary policy becoming excessively accommodative, leading to undesirably high inflation. It was also suggested that maintaining the federal funds rate at its effective lower bound for an extended period or raising it rapidly, if that proved necessary, could adversely affect financial stability. Some participants were concerned that a decision to delay the commencement of tightening could be perceived as indicating that an overly accommodative policy is likely to prevail during the firming phase. In connection with the risks associated with an early start to policy normalization, many participants observed that a premature increase in rates might damp the apparent solid recovery in real activity and labor market conditions, undermining progress toward the Committee's objectives of maximum employment and 2 percent inflation. In addition, an earlier tightening would increase the likelihood that the Committee might be forced by adverse economic outcomes to return the federal funds rate to its effective lower bound. Some participants noted the communications challenges associated with the prospect of commencing policy tightening at a time when inflation could be running well below 2 percent, and a few expressed concern that in some circumstances the public could come to question the credibility of the Committee's 2 percent goal. Indeed, one participant recommended that, in light of the outlook for inflation, the Committee consider ways to use its tools to provide more, not less, accommodation."
20150128,35,MINUTES,FOMC_ECON,"Many participants indicated that their assessment of the balance of risks associated with the timing of the beginning of policy normalization had inclined them toward keeping the federal funds rate at its effective lower bound for a longer time. Some observed that, even with these risks taken into consideration, the federal funds rate may have already been kept at its lower bound for a sufficient length of time, and that it might be appropriate to begin policy firming in the near term. Regardless of the particular strategy undertaken, it was noted that, provided that the data-dependent nature of the path for the federal funds rate after its initial increase could be communicated to financial markets and the general public in an effective manner, the precise date at which firming commenced would have a less important bearing on economic outcomes."
20150128,36,MINUTES,FOMC_ECON,"Participants discussed the economic conditions that they anticipate will prevail at the time they expect it will be appropriate to begin normalizing policy. There was wide agreement that it would be difficult to specify in advance an exhaustive list of economic indicators and the values that these indicators would need to take. Nonetheless, a number of participants suggested that they would need to see further improvement in labor market conditions and data pointing to continued growth in real activity at a pace sufficient to support additional labor market gains before beginning policy normalization. Many participants indicated that such economic conditions would help bolster their confidence in the likelihood of inflation moving toward the Committee's 2 percent objective after the transitory effects of lower energy prices and other factors dissipate. Some participants noted that their confidence in inflation returning to 2 percent would also be bolstered by stable or rising levels of core PCE inflation, or of alternative series, such as trimmed mean or median measures of inflation. A number of participants emphasized that they would need to see either an increase in market-based measures of inflation compensation or evidence that continued low readings on these measures did not constitute grounds for concern. Several participants indicated that signs of improvements in labor compensation would be an important signal, while a few others deemphasized the value of labor compensation data for judging incipient inflation pressures in light of the loose short-run empirical connection between wage and price inflation."
20150128,37,MINUTES,FOMC_ECON,"Participants discussed the communications challenges associated with signaling, when it becomes appropriate to do so, that policy normalization is likely to begin relatively soon while remaining clear that the Committee's actions would depend on incoming data. Many participants regarded dropping the ""patient"" language in the statement, whenever that might occur, as risking a shift in market expectations for the beginning of policy firming toward an unduly narrow range of dates. As a result, some expressed the concern that financial markets might overreact, resulting in undesirably tight financial conditions. Participants discussed some possible communications by which they might further underscore the data dependency of their decision regarding when to tighten the stance of monetary policy. A number of participants noted that while forward guidance had been a very useful tool under the extraordinary conditions of recent years, as the start of normalization approaches, there would be limits to the specificity that the Committee could provide about its timing. Looking ahead, some participants highlighted the potential benefits of streamlining the Committee's postmeeting statement once normalization has begun. More broadly, it was suggested that the Committee should communicate clearly that policy decisions will be data dependent, and that unanticipated economic developments could therefore warrant a path of the federal funds rate different from that currently expected by investors or policymakers."
20150128,38,MINUTES,FOMC_POLICY,"Committee Policy Action In their discussion of monetary policy for the period ahead, members judged that information received since the FOMC met in December indicated that economic activity had been expanding at a solid pace. Labor market conditions had improved further, with strong job gains and a lower unemployment rate; numerous labor market indicators suggested that the underutilization of labor resources was continuing to diminish. Household spending was rising moderately; recent declines in energy prices had boosted household purchasing power. Business fixed investment was advancing, while the recovery in the housing sector remained slow. Inflation had declined further below the Committee's longer-run objective, largely reflecting declines in energy prices, and was expected to decline further in the near term. Market-based measures of five-year, five-year-forward inflation compensation had declined substantially in recent months, but survey-based measures of longer-term inflation expectations had remained stable. The Committee expected that, with appropriate monetary policy accommodation, economic activity would continue to expand at a moderate pace, with labor market indicators moving toward levels the Committee judges consistent with its dual mandate. The Committee also expected that inflation would rise gradually toward 2 percent as the labor market improves further and the transitory effects of lower energy prices and other factors dissipate. In view of the uncertainties about the inflation outlook, the Committee agreed that it should continue to monitor inflation developments closely."
20150128,39,MINUTES,FOMC_POLICY,"In their discussion of language for the postmeeting statement, members generally agreed that they should acknowledge the solid growth over the second half of 2014 as well as the further improvement in labor market conditions over the intermeeting period. Job gains had been strong, and the Committee judged that labor market slack continued to diminish. In addition, members decided that the statement should note the further decline of inflation seen of late and the additional decline that was in prospect in the near term, while also registering their judgment that these short-term movements of inflation largely reflected the recent decline in energy prices and other transitory factors, and that inflation was likely to rise gradually toward 2 percent over the medium term. Members also agreed that it was appropriate to observe that lower energy prices had boosted household purchasing power. The Committee further decided that the postmeeting statement should explicitly acknowledge the role of international developments as one of the factors influencing the Committee's assessment of progress toward its objectives of maximum employment and 2 percent inflation."
20150128,40,MINUTES,FOMC_POLICY,"The Committee agreed to maintain the target range for the federal funds rate at 0 to 1/4 percent and to reaffirm the indication in the statement that the Committee's decision about how long to maintain the current target range for the federal funds rate would depend on its assessment of actual and expected progress toward its objectives of maximum employment and 2 percent inflation. Members agreed to continue to include, in the forward guidance, language indicating that the Committee judges that it can be patient in beginning to normalize the stance of monetary policy. Members agreed that their policy decisions would remain data dependent, and they continued to include wording in the statement noting that if incoming information indicates faster progress toward the Committee's employment and inflation objectives than the Committee now expects, then increases in the target range for the federal funds rate would likely occur sooner than currently anticipated, and, conversely, that if progress proves slower than expected, then increases in the target range would likely occur later than currently anticipated. The Committee decided to maintain its policy of reinvesting principal payments from its holdings of agency debt and agency mortgage-backed securities in agency mortgage-backed securities and of rolling over maturing Treasury securities at auction. This policy, by keeping the Committee's holdings of longer-term securities at sizable levels, should help maintain accommodative financial conditions. Finally, the Committee also decided to reiterate its expectation that, even after employment and inflation are near mandate-consistent levels, economic conditions may, for some time, warrant keeping the target federal funds rate below levels the Committee views as normal in the longer run."
20150128,41,MINUTES,FOMC_POLICY,"At the conclusion of the discussion, the Committee voted to authorize and direct the Federal Reserve Bank of New York, until it was instructed otherwise, to execute transactions in the SOMA in accordance with the following domestic policy directive:"
20150128,42,MINUTES,OTHER_MINUTES,"""Consistent with its statutory mandate, the Federal Open Market Committee seeks monetary and financial conditions that will foster maximum employment and price stability. In particular, the Committee seeks conditions in reserve markets consistent with federal funds trading in a range from 0 to 1/4 percent. The Committee directs the Desk to undertake open market operations as necessary to maintain such conditions. The Committee directs the Desk to maintain its policy of rolling over maturing Treasury securities into new issues and its policy of reinvesting principal payments on all agency debt and agency mortgage-backed securities in agency mortgage-backed securities. The Committee also directs the Desk to engage in dollar roll and coupon swap transactions as necessary to facilitate settlement of the Federal Reserve's agency mortgage-backed securities transactions. The System Open Market Account manager and the secretary will keep the Committee informed of ongoing developments regarding the System's balance sheet that could affect the attainment over time of the Committee's objectives of maximum employment and price stability."""
20150128,43,MINUTES,OTHER_MINUTES,The vote encompassed approval of the statement below to be released at 2:00 p.m.:
